string_1;template_string;norm_sim_damerau_levenshtein;damerau_levenshtein_distance;norm_sim_jaro_winkler;jaro_winkler_distance;norm_sim_sorensen_dice;sorensen_dice_distance;norm_sim_cosine;cosine_distance;norm_sim_overlap;overlap_distance;norm_sim_mra;mra_distance;norm_sim_lcsstr;lcsstr_distance;norm_sim_gestalt;gestalt_distance;function;time
I  graduated from Chung university.;I  graduated from Chung university.;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;Autocorrect;0.00010346099588787183
I graduated from Chung university.;I  graduated from Chung university.;0.9714285714285714;1;0.9139495798319328;0.08605042016806719;0.9855072463768116;0.01449275362318836;0.9856107606091623;0.014389239390837694;1.0;0.0;1.0;0;0.9428571428571428;2;0.9855072463768116;0.01449275362318836;SpellChecker;0.0005203570035519078
I  graduated from Hung university.;I  graduated from Chung university.;0.9428571428571428;2;0.9826890756302521;0.017310924369747904;0.9565217391304348;0.04347826086956519;0.9566222088265399;0.04337779117346008;0.9705882352941176;0.02941176470588236;1.0;0;0.5142857142857142;17;0.9565217391304348;0.04347826086956519;TextBlob;0.026362764001532923
I  graduated from Chung university.;I  graduated from Chung university.;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;Gingerit;0.3652880700028618
I graduated from Chung university.;I  graduated from Chung university.;0.9714285714285714;1;0.9139495798319328;0.08605042016806719;0.9855072463768116;0.01449275362318836;0.9856107606091623;0.014389239390837694;1.0;0.0;1.0;0;0.9428571428571428;2;0.9855072463768116;0.01449275362318836;LanguageTool;2.8093098740064306
I graduated from Chung University.;I  graduated from Chung university.;0.9428571428571428;2;0.8961106866989219;0.10388931330107809;0.9565217391304348;0.04347826086956519;0.9566222088265399;0.04337779117346008;0.9705882352941176;0.02941176470588236;1.0;0;0.6285714285714286;13;0.9565217391304348;0.04347826086956519;GramFormer;0.45146486399607966
I  graduated from Chung university.;I  graduated from Chung university.;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;Jamspell;3.575399750843644e-05
I graduated from Chung university.;I  graduated from Chung university.;0.9714285714285714;1;0.9139495798319328;0.08605042016806719;0.9855072463768116;0.01449275362318836;0.9856107606091623;0.014389239390837694;1.0;0.0;1.0;0;0.9428571428571428;2;0.9855072463768116;0.01449275362318836;Autocorrect(SpellChecker);0.0005833899995195679
I  graduated from Hung university.;I  graduated from Chung university.;0.9428571428571428;2;0.9826890756302521;0.017310924369747904;0.9565217391304348;0.04347826086956519;0.9566222088265399;0.04337779117346008;0.9705882352941176;0.02941176470588236;1.0;0;0.5142857142857142;17;0.9565217391304348;0.04347826086956519;Autocorrect(TextBlob);0.00040909000381361693
I  graduated from Chung university.;I  graduated from Chung university.;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;1.0;0;Autocorrect(Gingerit);0.36574505600583507
